filename,permissions,activities,services
com.codelv.inventory_6.apk,"['com.codelv.inventory.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.CAMERA', 'android.permission.INTERNET']","['com.codelv.inventory.MainActivity', 'com.journeyapps.barcodescanner.CaptureActivity']",['androidx.room.MultiInstanceInvalidationService']
com.jakewharton.sdksearch_1040100.apk,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']",['com.jakewharton.sdksearch.ui.MainActivity'],[]
org.echoline.drawterm_2.apk,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.CAMERA', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']",['org.echoline.drawterm..MainActivity'],[]
org.woheller69.browser_1000.apk,"['android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_VIDEO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.CAMERA', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.RECORD_AUDIO', 'org.woheller69.browser.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.WRITE_EXTERNAL_STORAGE']","['de.baumann.browser.activity.BrowserActivity', 'de.baumann.browser.activity.Settings_Activity', 'de.baumann.browser.activity.Whitelist_Javascript', 'de.baumann.browser.activity.Whitelist_Cookie', 'de.baumann.browser.activity.Whitelist_DOM', 'de.baumann.browser.activity.Manage_UserScripts', 'de.baumann.browser.activity.Settings_Delete', 'de.baumann.browser.activity.Settings_StartActivity', 'de.baumann.browser.activity.Settings_Backup', 'de.baumann.browser.activity.Settings_UI', 'de.baumann.browser.activity.Settings_Filter']",[]
click.dummer.textthing_216.apk,"['android.permission.WAKE_LOCK', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']",['click.dummer.textthing.MainActivity'],['click.dummer.textthing.WidgetUpdateService']
io.github.wh201906.serialpipe_2.apk,"['android.permission.FOREGROUND_SERVICE', 'android.permission.INTERNET']","['io.github.wh201906.serialpipe.MainActivity', 'io.github.wh201906.serialpipe.AboutActivity']",['io.github.wh201906.serialpipe.IOService']
de.markusfisch.android.shadereditor_78.apk,"['android.permission.CAMERA', 'android.permission.WRITE_EXTERNAL_STORAGE', 'de.markusfisch.android.shadereditor.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.READ_EXTERNAL_STORAGE']","['de.markusfisch.android.shadereditor.activity.SplashActivity', 'de.markusfisch.android.shadereditor.activity.MainActivity', 'de.markusfisch.android.shadereditor.activity.PreviewActivity', 'de.markusfisch.android.shadereditor.activity.PreferencesActivity', 'de.markusfisch.android.shadereditor.activity.AddUniformActivity', 'de.markusfisch.android.shadereditor.activity.LoadSampleActivity', 'de.markusfisch.android.shadereditor.activity.TextureViewActivity', 'de.markusfisch.android.shadereditor.activity.CropImageActivity', 'de.markusfisch.android.shadereditor.activity.CubeMapActivity']",['de.markusfisch.android.shadereditor.service.ShaderWallpaperService']
org.cosmicide_23.apk,"['android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.WRITE_SECURE_SETTINGS', 'android.permission.WRITE_SETTINGS', 'org.cosmicide.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'moe.shizuku.manager.permission.API_V23', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']","['org.cosmicide.MainActivity', 'com.haroldadmin.whatthestack.WhatTheStackActivity', 'androidx.compose.ui.tooling.PreviewActivity']",['com.haroldadmin.whatthestack.WhatTheStackService']
org.godotengine.editor.v4_402024003.apk,"['android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.RECORD_AUDIO', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']","['org.godotengine.editor.GodotProjectManager', 'org.godotengine.editor.GodotEditor', 'org.godotengine.editor.GodotGame', 'org.godotengine.godot.utils.ProcessPhoenix']",['org.godotengine.godot.GodotDownloaderService']
com.github.ttl.manager_13.apk,[],['com.github.ttl.manager.MainActivity'],[]
com.catalin.css_px_converter_1.apk,[],['com.catalin.css_px_converter.MainActivity'],[]
com.ruesga.rview_69.apk,"['com.ruesga.rview.permissions.PRIVATE_ACCESS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']","['com.ruesga.rview.MainActivity', 'com.ruesga.rview.ChangeDetailsActivity', 'com.ruesga.rview.UrlHandlerProxyActivity', 'com.ruesga.rview.TabFragmentActivity', 'com.ruesga.rview.DiffViewerActivity', 'com.ruesga.rview.ChangeListByFilterActivity', 'com.ruesga.rview.EditorActivity', 'com.ruesga.rview.SearchActivity', 'com.ruesga.rview.NotificationsActivity', 'com.ruesga.rview.AccountSettingsActivity', 'com.ruesga.rview.wizards.SetupAccountActivity', 'com.ruesga.rview.wizards.AuthorizationAccountSetupActivity', 'com.mikepenz.aboutlibraries.ui.LibsActivity']","['com.ruesga.rview.services.AccountStatusFetcherService', 'com.ruesga.rview.attachments.services.AttachmentsContentUploadService']"
com.fredhappyface.brainf_20230828.apk,['com.fredhappyface.brainf.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION'],"['com.fredhappyface.brainf.ActivityAbout', 'com.fredhappyface.brainf.ActivityMain']",[]
de.syss.MifareClassicTool_64.apk,"['android.permission.NFC', 'de.syss.MifareClassicTool.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION']","['de.syss.MifareClassicTool.Activities.MainMenu', 'de.syss.MifareClassicTool.Activities.KeyMapCreator', 'de.syss.MifareClassicTool.Activities.DumpEditor', 'de.syss.MifareClassicTool.Activities.FileChooser', 'de.syss.MifareClassicTool.Activities.AccessConditionDecoder', 'de.syss.MifareClassicTool.Activities.ValueBlocksToInt', 'de.syss.MifareClassicTool.Activities.WriteTag', 'de.syss.MifareClassicTool.Activities.ReadTag', 'de.syss.MifareClassicTool.Activities.KeyEditor', 'de.syss.MifareClassicTool.Activities.HelpAndInfo', 'de.syss.MifareClassicTool.Activities.HexToAscii', 'de.syss.MifareClassicTool.Activities.TagInfoTool', 'de.syss.MifareClassicTool.Activities.ValueBlockTool', 'de.syss.MifareClassicTool.Activities.AccessConditionTool', 'de.syss.MifareClassicTool.Activities.Preferences', 'de.syss.MifareClassicTool.Activities.DiffTool', 'de.syss.MifareClassicTool.Activities.BccTool', 'de.syss.MifareClassicTool.Activities.CloneUidTool', 'de.syss.MifareClassicTool.Activities.ImportExportTool', 'de.syss.MifareClassicTool.Activities.UidLogTool', 'de.syss.MifareClassicTool.Activities.DataConversionTool']",[]
com.trianguloy.numericriddlegenerator_7.apk,['android.permission.WRITE_EXTERNAL_STORAGE'],['com.trianguloy.numericriddlegenerator.Riddle'],[]
