apk_path,label,complexity_score,analysis_time,permissions_count,native_code_count,obfuscated_strings_count,dynamic_code_use_count,apk_entropy,code_length,file_size,file_hash,first_submission_date,malware_family
./AndroidAPKSamples/Malware/SMS Malware/Jifake/3fd5a098f2b8e5a147fbca1f4b8b8f22.apk,malware,0.9632550297688683,0.011958122253417969,21,0,0,0,2.510796596514183,216,0.021261215209960938,3e6d5238097d21e363f77be4179bc0b715648827e1a97909b700b0781a30195b,2011-09-15 22:08:02,trojan.jifake/smssend
./AndroidAPKSamples/Malware/SMS Malware/Jifake/3a8d580df0be5797e49c2d85aae25aae.apk,malware,1.1294641027321919,0.021502256393432617,2,0,1,0,2.550023634304074,1326,0.1210479736328125,ffdae5b124392d6c22806f1126487c219b360c444072ea62110edc16e109f5a4,2017-05-30 05:48:27,trojan.smssend
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0c5b06142035314e25a062f04aaa1b00.apk,malware,0.9252247222384422,0.012579917907714844,2,0,0,0,2.267383057520286,745,0.09121513366699219,cc80ff2950ecb590de097479af0daaa6d5ee3cac37a47559606802e7d052eaff,2017-05-30 07:51:41,trojan.hamad/smssend
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4aed54ec11434839b7d13b8a34c3b085.apk,malware,1.0497156451657732,0.007189035415649414,21,0,0,0,2.7263834639113007,272,0.024369239807128906,7e55d553392c637617744606a260cf56155903605054e789f190793e80a72f24,2011-10-30 18:50:39,trojan.fakeinst/jifake
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4aff6ec54c15f95e75a453460fd744ff.apk,malware,3.3681143614045026,0.23492908477783203,21,0,60,0,3.456292605652078,714,0.1209268569946289,3bc47fb478b1bd3ddec3a76b39b7c26d57557c8d65082f3e18d077cb97a8c7e0,2017-06-25 04:58:58,trojan.jifake/fakeinst
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0a6bd6d44fc7865847c5cc521be5edd0.apk,malware,1.04647776834715,0.007971048355102539,21,0,0,0,2.7178257629963722,272,0.018621444702148438,c67bb5a16171b7cbd4a341ad93de8e55e5cae1f90dc62e6eb8201bc969f4ff66,2011-10-28 19:25:42,trojan.jifake/fakeinst
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0d35dc4a58697fc003531f7edbde9f9c.apk,malware,1.128924022889815,0.021424055099487305,2,0,1,0,2.5485875412641157,1326,0.12073898315429688,7b0bb3b099e1a849ac8efdfbcf96a375df719594603130ae3026d6aaeee52972,2013-08-13 16:45:06,trojan.smssend/trojansms
./AndroidAPKSamples/Malware/SMS Malware/Jifake/4a920426e5ed54cce87c2cb30d4c88db.apk,malware,1.1878022215467265,0.02258777618408203,3,0,1,0,2.671275759024507,1459,0.03476238250732422,795e46e099116e968cc9bd4ebb29a87c56e5591d804403ae2f8b6a497dadcec0,2011-09-04 11:01:01,trojan.fakeinst/opfake
./AndroidAPKSamples/Malware/SMS Malware/Jifake/0f1553bddd194d6597a215c69326828b.apk,malware,3.022826666360869,0.23629117012023926,21,0,43,0,3.300642312383054,645,0.11715984344482422,a88bdbd2170e2e9d1e20d1276fbe8c5cea75746c651e9f77170ed5f5480be5a7,2012-02-06 18:25:35,trojan.jifake/fakeinst
./AndroidAPKSamples/Malware/SMS Malware/Jifake/1fa16f1bbcfa2f8254bbc9b59af14ec2.apk,malware,1.166608724046529,0.020079851150512695,24,0,2,0,2.7133516770065644,689,0.04036903381347656,fcc95edf50ebe161e24ad0c66bc90c78faccbb236656d4e5ec00c2b0576c1ae6,2016-02-12 11:18:22,trojan.jifake/fakeinst
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/0b5697a9975bc9e978fc96a0333443c8.apk,malware,1.4032509884964761,0.05391716957092285,7,0,1,0,2.6490906502117944,3694,0.08839893341064453,fb1bc320b49851a716eb09f95b7e8a4f4128f4b5fb6cda44fc93504362022e1a,2017-05-30 00:23:02,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/6b0ba04a1ac9aa527ed6c4aef668993d.apk,malware,1.8751700527492166,0.05809807777404785,7,0,1,0,2.687739839761257,8269,0.07352256774902344,c15bd7f5fc9a995f2bb6ede5bd9d518c432623557d09f953f70108ec0d01437a,2017-05-30 00:14:51,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/0c19dc80f0190c6c29345bf01bc840f0.apk,malware,1.4028821888170984,0.040071964263916016,7,0,1,0,2.647996062268773,3694,0.09673309326171875,fb8260b2915dfe5611bb6cae16dd095e184315811f471a504ec6e9b7ff53436c,2012-02-14 20:01:01,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/5e0da2476bb8ab81281bb61edfc84e18.apk,malware,1.4028823747835901,0.03983330726623535,7,0,1,0,2.647996062268773,3694,0.0967702865600586,fa8cec0e8927c172c84e343797921bf63bf183896bdf913fe41a810263d89a6e,2012-02-14 01:35:29,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/2d84afd761b473eff0069e9e0de97e16.apk,malware,1.4029052915774134,0.059329986572265625,7,0,1,0,2.647996062268773,3694,0.10135364532470703,423ff1ed2972f74fe33c3e7ba2e25a44f244f4b786b19cc6d09492de07193db0,2017-06-01 17:28:59,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/6b14aeb8a008966298349423517b2184.apk,malware,1.4028536930285243,0.040487051010131836,7,0,1,0,2.647996062268773,3694,0.091033935546875,4a72a7a1a1bd5b761c69240efed4eb4c54d95c935f5e4f6261f4b5976aaeb747,2016-01-21 21:26:44,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/3e4f620b98908090340dab1b790c4bfe.apk,malware,1.4105859900951745,0.03748679161071777,7,0,1,0,2.6771767459870337,3663,0.06894207000732422,5c42715208a4a3a1d1c91c0eaf586032f87129c32779f743d83f02bf4e5af4cb,2016-02-07 14:24:52,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/2e6290ea191c3e9c4a93c38db6f38c8e.apk,malware,1.402926162739828,0.03929710388183594,7,0,1,0,2.647996062268773,3694,0.10552787780761719,f9f3ca1e01c128cb21279e2c7db45286d31f05e309bbbf9ad77804a361887783,2012-03-14 14:44:34,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/2acd800a5c95d73c493ed148748a643a.apk,malware,1.4028949108324793,0.039839982986450195,7,0,1,0,2.647996062268773,3694,0.09927749633789062,ef8c71b0bf168f8bf120d56cb38a2476ab6284e0819611e83452f048ffe32138,2012-02-14 19:46:43,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Fakenotify/2f4e363556c508921924e5a35f8c1665.apk,malware,1.4029257192812707,0.059890031814575195,7,0,1,0,2.647996062268773,3694,0.1054391860961914,bce27e12e8d77b15176b8343a8fa3b549308ad5517ba66adfd7509012af6bbe0,2016-01-21 18:47:11,trojan.fakenotify/opfake
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/04276665aaa3725ea34097c4c874873c.apk,malware,4.306798757792936,9.564757108688354,55,0,601,0,3.333339434945387,728149,11.359293937683105,ed9c5c0eb43e364ab9c3b703e79ded2224d344aea1c8baf00bec92e20edf99f2,2017-06-25 10:13:58,pua.ffob
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/0685192d16888b55e8c581f416dc7e22.apk,malware,3.814699614285643,1.3437600135803223,12,0,49,0,2.2654475981373654,57958,1.0313529968261719,ece76e88fe8ae47beb529f0546c3c8d360d40c50e7b7aa3c6a783b8b53e3c79c,2012-07-12 03:05:32,trojan.nandrobox
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/0e7856d1685a712cfa62f6f23957d89c.apk,malware,4.1257551983956775,1.819068193435669,13,0,146,0,2.9469514920881785,158146,4.129677772521973,4b882beee1e5ff00997ae380b9fd4a87187ad53c7a7eae59027181743fcdc280,2013-12-14 03:35:09,trojan.nandrob/nandrobox
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/03f9eff3229e3a4eefc9224f916202b8.apk,malware,4.281982326243064,8.65029501914978,39,0,491,0,3.289237339585994,638009,9.703664779663086,8fde04d339b1b2a3cd53d9184cb5743a2fa8135a022234d3008db4d4920e01c1,2016-09-25 19:12:19,pua.ffob
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/0adcc06fe300df345a48c49c66801e42.apk,malware,3.675369858366181,0.41171717643737793,9,0,41,0,2.738974837255292,35691,1.6508588790893555,f2f1cd6b39754d4b626c3b68e9887a4460731601ad7b5de5a115fe2da6502e53,2013-11-08 13:39:05,trojan.nandrobox/nandrob
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/1331ae4b33daabf7ac0462cf03babf6a.apk,malware,4.302160895174335,9.746696949005127,55,0,540,0,3.3303539474953294,680579,10.655632972717285,f297799d049129da412e830157e707c07073c3cca63d34cf116839b20524c7ae,2017-06-03 05:56:12,trojan.ffob
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/079b54972ba05f0e4652c46559d40604.apk,malware,4.127483760668918,2.69773530960083,12,0,89,0,2.9656438873982003,181142,3.073460578918457,605e4da6f72609106258ea12a953df021cfd8e4bf151fc020ba11b021b61b89d,2014-03-20 07:03:35,trojan.nandrobox/smsreg
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/14a457989137585d27e4942c3ef1e0c4.apk,malware,2.4118049400375834,0.6481091976165771,12,0,12,0,2.455992347220991,55871,2.161561965942383,4a42c6b385361c356fb3524794be7772f6282aa46ee90cf2d3f88f4a9b273f9e,2012-07-20 12:38:32,trojan.nandrobox
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/0090db3654c2bfe6925f5ace023399d9.apk,malware,4.1269857191562735,2.562488079071045,9,0,76,0,2.960710875066143,188458,3.3438282012939453,529c67f49fb3b044862091349d5c3fd4f711cd914eb0b0955f7a2f9bb63ad689,2017-05-21 05:14:47,trojan.nandrobox
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/11f666e80b3cb75d5a9c4c334c08cb0c.apk,malware,4.306815099985241,10.28457498550415,55,0,603,0,3.3334904359998694,728061,11.351237297058105,e3763492d8ef9165fcf5d04ca9abd6efff9b64a49c463636b1707cae534e47dd,2017-06-19 02:23:02,pua.ffob
./AndroidAPKSamples/Malware/SMS Malware/Nandrobox/0c5a4e855d1842f3548a0e761b7cfdba.apk,malware,2.5516628545862017,0.38478517532348633,4,0,12,0,2.8458580892196177,68672,0.893214225769043,81c728fe37a00d71ae8b053f9dce637c9831c28487a6f66f13fc3fd723f83497,2011-02-09 09:59:26,adware.wiyun/andr
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/49dac3b35afb2e8d3605c72d0d83f631.apk,malware,3.7880056588924647,0.5727200508117676,11,0,40,0,3.1557042612173087,37633,0.9233121871948242,0a5d2765414520d695567cdd4fe4f8db8e577d88c76e0daa362d7dcbc2bf6c1d,2016-02-26 12:24:28,trojan.bankbot/mazarbot
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/1a4a6d135629d56917366d18c99ed316.apk,malware,4.203352801327978,2.072335958480835,10,0,155,0,3.191941800448825,85998,1.2749252319335938,4ea35fa8d37529f307f92f367a3d618bb5526cd38f285cbd2a92ea251cd91c42,2017-05-11 21:48:11,trojan.mazarbot/fggc
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/2f4d81ef1b10bf72d0dba0fdf354527f.apk,malware,2.67967215220063,0.18392205238342285,10,0,15,0,2.870199487472351,14454,0.669468879699707,4120829a12eaa425de54e4170d0248ac62865303e2816f5ec6001b459bc4b3a2,2016-03-25 16:46:42,trojan.mazarbot/bankbot
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/1d0fd6e8601af2f9299d1cf8e86ecebd.apk,malware,4.259390977218674,10.080620050430298,29,0,773,0,3.2664990446168214,741335,6.8907670974731445,54001082a44b9709f77205d640caf971defe58017e9ec0078bcf18c3a91fd96b,2017-06-08 15:56:59,trojan.bankbot/razam
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/40449a2ec48c3e630b2eb8c8089828cf.apk,malware,1.6618391819018823,0.06720900535583496,11,0,0,0,2.2015151255339256,8329,0.6742019653320312,b51567440068be05db737306c31c3837b8459efe0dabd45d93e780aad8f0447a,2016-04-21 10:50:32,trojan.smsthief/fjkw
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/234115774e10aa7c34c359091ba09f38.apk,malware,3.7782519523401117,1.2104368209838867,9,0,40,0,3.1264806472193025,38787,1.164341926574707,aca4e3462d77f228b556c56f59ba79c0070b4115357925f4833ce0480c3d9651,2017-05-11 21:47:26,trojan.mazarbot/bankbot
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/3841abcef2b1b37aa7e2d47c535ca80e.apk,malware,2.6757891044891147,0.22387313842773438,11,0,15,0,2.863102406892848,13619,0.425140380859375,9efa16125de476183f9fc8fc06f84896dee8f0bcc920e31288f3add6e91c4ea7,2016-02-24 14:19:57,trojan.bankbot/mazarbot
./AndroidAPKSamples/Malware/SMS Malware/MazarBot/3f85dc61d4d24d185e0d4c9f0807ed11.apk,malware,4.246075989194679,10.137709140777588,9,0,773,0,3.2663943263900745,741234,4.235623359680176,31233c196ed643e30dd64c26c5f660f0031517a40558f587c5ca226450080db5,2017-06-07 19:53:30,trojan.bankbot/mazarbot
